Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.092,2019-01-27,"Нижегородская область, Богородский муниципальный район, Богородск",46fb9f472ca6ebaced418919a831d8da,22207501000,Бананы,1.09,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.594,2019-01-27,"Нижегородская область, Богородский муниципальный район, Богородск",46fb9f472ca6ebaced418919a831d8da,22207501000,Бананы,0.59,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.518,2019-01-27,"Воронежская область, г Воронеж",0dc5007a77e8fbbe9ab4d3fe64c9eadb,20401000000,Бананы,1.52,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.958,2019-01-27,"Воронежская область, г Воронеж",0dc5007a77e8fbbe9ab4d3fe64c9eadb,20401000000,Бананы,1.96,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.99,2019-01-27,"Воронежская область, г Воронеж",0dc5007a77e8fbbe9ab4d3fe64c9eadb,20401000000,Бананы,0.99,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.828,2019-01-27,"Воронежская область, г Воронеж",0dc5007a77e8fbbe9ab4d3fe64c9eadb,20401000000,Бананы,0.83,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,58.6,1.524,2019-01-27,"Московская область, р-н Дмитровский, г Дмитров",baec6303378b84d6f85795312aa7ed7e,46415000183,Бананы,1.52,1,58.6,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,1.358,2019-01-27,Г.Санкт-Петербург,c7e484fac383be4f0e09a5c6ceb28397,40000000000,Бананы,1.36,1,54.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,1.241,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,1.24,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,0.4,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,0.4,1,71.9,1.0
